Title,AuthorName,ISBN,Stock,IsActive,Description,Rating,RatingCount,Location,CoverImage
"Suç ve Ceza","Fyodor Dostoevsky","9780140449136",15,TRUE,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret.",4.8,15000,"A-01-01","https://covers.openlibrary.org/b/isbn/9780140449136-L.jpg"
"The Picture of Dorian Gray","Oscar Wilde","9780141439570",12,TRUE,"A corrupt young man somehow keeps his youthful beauty eternally, but a special painting gradually reveals his inner ugliness to all.",4.6,9800,"A-01-02","https://covers.openlibrary.org/b/isbn/9780141439570-L.jpg"
"The Little Prince","Antoine de Saint-Exupéry","9780156012195",25,TRUE,"A pilot stranded in the desert meets a young prince fallen from the sky. The story is philosophical and includes social criticism, remarking on the strangeness of the adult world.",4.9,20000,"A-01-03","https://covers.openlibrary.org/b/isbn/9780156012195-L.jpg"
"1984","George Orwell","9780451524935",30,TRUE,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real.",4.7,5000,"A-01-04","https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg"
"The Great Gatsby","F. Scott Fitzgerald","9780743273565",15,TRUE,"The story of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan.",4.4,1200,"A-01-05","https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg"
"Pride and Prejudice","Jane Austen","9781503290563",22,TRUE,"A romantic novel of manners written by Jane Austen. The novel follows the character development of Elizabeth Bennet.",4.6,2800,"A-02-01","https://covers.openlibrary.org/b/isbn/9781503290563-L.jpg"
"To Kill a Mockingbird","Harper Lee","9780061120084",28,TRUE,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it.",4.8,4100,"A-02-02","https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg"
"The Catcher in the Rye","J.D. Salinger","9780316769488",20,TRUE,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield.",4.0,1500,"A-02-03","https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg"
"Brave New World","Aldous Huxley","9780060850524",18,TRUE,"A searching vision of an unequal, technologically-advanced future where humans are genetically bred.",4.6,3200,"A-02-04","https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg"
"Jane Eyre","Charlotte Bronte","9780141441146",14,TRUE,"A novel of intense power and intrigue, Jane Eyre has dazzled generations of readers with its depiction of a woman's quest for freedom.",4.6,1800,"A-02-05","https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg"
"Wuthering Heights","Emily Bronte","9780141439556",11,TRUE,"The narrative is non-linear, involving several flashbacks, and two narrators Mr. Lockwood and Ellen Nelly Dean.",4.3,1500,"A-03-01","https://covers.openlibrary.org/b/isbn/9780141439556-L.jpg"
"Animal Farm","George Orwell","9780451526342",40,TRUE,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress.",4.7,4500,"A-03-02","https://covers.openlibrary.org/b/isbn/9780451526342-L.jpg"
"Lord of the Flies","William Golding","9780399501487",17,TRUE,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys.",4.5,2100,"A-03-03","https://covers.openlibrary.org/b/isbn/9780399501487-L.jpg"
"Fahrenheit 451","Ray Bradbury","9781451673319",26,TRUE,"Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book.",4.6,3300,"A-03-04","https://covers.openlibrary.org/b/isbn/9781451673319-L.jpg"
"The Grapes of Wrath","John Steinbeck","9780143039433",9,TRUE,"The Grapes of Wrath constitutes a tour de force of conflict and suffering during the Great Depression.",4.5,1200,"A-03-05","https://covers.openlibrary.org/b/isbn/9780143039433-L.jpg"
"Of Mice and Men","John Steinbeck","9780140177398",13,TRUE,"Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other.",4.6,2200,"A-04-01","https://covers.openlibrary.org/b/isbn/9780140177398-L.jpg"
"Anna Karenina","Leo Tolstoy","9780143035008",8,TRUE,"Anna Karenina seems to have everything – beauty, wealth, popularity and an adored son. But she feels that her life is empty.",4.6,1900,"A-04-02","https://covers.openlibrary.org/b/isbn/9780143035008-L.jpg"
"Dracula","Bram Stoker","9780486411095",16,TRUE,"A rich, selection of background and source materials are provided in three areas: Contexts, Reviews and Reactions, and Dramatic and Film Variations.",4.4,2500,"A-04-03","https://covers.openlibrary.org/b/isbn/9780486411095-L.jpg"
"Frankenstein","Mary Shelley","9780486282114",19,TRUE,"Frankenstein; or, The Modern Prometheus is a novel written by the English author Mary Wollstonecraft Shelley.",4.3,2700,"A-04-04","https://covers.openlibrary.org/b/isbn/9780486282114-L.jpg"
"The Metamorphosis","Franz Kafka","9780553213690",10,TRUE,"The Metamorphosis is a novella written by Franz Kafka which was first published in 1915.",4.5,2100,"A-04-05","https://covers.openlibrary.org/b/isbn/9780553213690-L.jpg"
"Siddhartha","Hermann Hesse","9780553208849",24,TRUE,"Siddhartha is a novel by Hermann Hesse that deals with the spiritual journey of self-discovery of a man named Siddhartha.",4.6,3500,"A-05-01","https://covers.openlibrary.org/b/isbn/9780553208849-L.jpg"
"The Stranger","Albert Camus","9780679720201",21,TRUE,"The Stranger is a 1942 novel by French author Albert Camus. Its theme and outlook are often cited as examples of Camus' philosophy of the absurd.",4.4,1800,"A-05-02","https://covers.openlibrary.org/b/isbn/9780679720201-L.jpg"
"The Old Man and the Sea","Ernest Hemingway","9780684801223",15,TRUE,"This short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream.",4.5,2300,"A-05-03","https://covers.openlibrary.org/b/isbn/9780684801223-L.jpg"
"Moby Dick","Herman Melville","9781503280786",7,TRUE,"The narrative of Captain Ahab's obsessive quest for revenge against Moby Dick, the white whale that bit off his leg.",4.1,1100,"A-05-04","https://covers.openlibrary.org/b/isbn/9781503280786-L.jpg"
"Great Expectations","Charles Dickens","9780141439563",12,TRUE,"Great Expectations depicts the personal growth and personal development of an orphan nicknamed Pip.",4.5,1700,"A-05-05","https://covers.openlibrary.org/b/isbn/9780141439563-L.jpg"
"The Brothers Karamazov","Fyodor Dostoevsky","9780374528379",6,TRUE,"The Brothers Karamazov is a passionate philosophical novel that enters deeply into the ethical debates of God, free will, and morality.",4.7,1300,"A-06-01","https://covers.openlibrary.org/b/isbn/9780374528379-L.jpg"
"Don Quixote","Miguel de Cervantes","9780060934347",9,TRUE,"Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself.",4.5,1400,"A-06-02","https://covers.openlibrary.org/b/isbn/9780060934347-L.jpg"
"Les Misérables","Victor Hugo","9780451419439",10,TRUE,"Les Misérables is a French historical novel by Victor Hugo, first published in 1862, that is considered one of the greatest novels of the 19th century.",4.7,1600,"A-06-03","https://covers.openlibrary.org/b/isbn/9780451419439-L.jpg"
"The Count of Monte Cristo","Alexandre Dumas","9780140449266",11,TRUE,"The story takes place in France, Italy and islands in the Mediterranean during the historical events of 1815–1838.",4.8,2900,"A-06-04","https://covers.openlibrary.org/b/isbn/9780140449266-L.jpg"
"War and Peace","Leo Tolstoy","9781400079988",5,TRUE,"War and Peace broadly focuses on Napoleon's invasion of Russia in 1812 and follows three of the most well-known characters in literature.",4.4,900,"A-06-05","https://covers.openlibrary.org/b/isbn/9781400079988-L.jpg"
"The Hobbit","J.R.R. Tolkien","9780547928227",25,TRUE,"A timeless classic introduced the world to the Hobbits of Middle-earth.",4.9,8500,"B-01-01","https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg"
"The Fellowship of the Ring","J.R.R. Tolkien","9780547928210",23,TRUE,"The first volume in The Lord of the Rings trilogy.",4.8,7000,"B-01-02","https://covers.openlibrary.org/b/isbn/9780547928210-L.jpg"
"The Two Towers","J.R.R. Tolkien","9780547928203",22,TRUE,"The second volume in The Lord of the Rings trilogy.",4.8,6500,"B-01-03","https://covers.openlibrary.org/b/isbn/9780547928203-L.jpg"
"The Return of the King","J.R.R. Tolkien","9780547928197",24,TRUE,"The third volume in The Lord of the Rings trilogy.",4.9,6800,"B-01-04","https://covers.openlibrary.org/b/isbn/9780547928197-L.jpg"
"Dune","Frank Herbert","9780441013593",12,TRUE,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world.",4.7,2100,"B-02-01","https://covers.openlibrary.org/b/isbn/9780441013593-L.jpg"
"Dune Messiah","Frank Herbert","9780441172696",10,TRUE,"Dune Messiah continues the story of Paul Atreides, better known—and feared—as the man christened Muad'Dib.",4.4,1500,"B-02-02","https://covers.openlibrary.org/b/isbn/9780441172696-L.jpg"
"Children of Dune","Frank Herbert","9780441104024",9,TRUE,"The Children of Dune are twin siblings Leto and Ghanima Atreides, whose father, the Emperor Paul Muad'Dib, vanished in the desert wastelands.",4.4,1300,"B-02-03","https://covers.openlibrary.org/b/isbn/9780441104024-L.jpg"
"The Hitchhiker's Guide to the Galaxy","Douglas Adams","9780345391803",30,TRUE,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect.",4.8,4000,"B-03-01","https://covers.openlibrary.org/b/isbn/9780345391803-L.jpg"
"Ender's Game","Orson Scott Card","9780812550702",18,TRUE,"The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy.",4.7,3500,"B-03-02","https://covers.openlibrary.org/b/isbn/9780812550702-L.jpg"
